Node id 1,Node id 2,Sign
0,1,1
0,2,0
0,3,1
0,4,0
0,5,0
0,6,1
0,7,1
0,8,1
0,9,1
1,2,0
1,3,1
1,4,0
1,5,0
1,6,1
1,7,1
1,8,1
1,18,0
1,94,0
1,96,0
1,30,0
1,55,1
1,95,0
1,97,1
1,40,1
2,3,1
2,4,0
2,18,0
2,12,1
2,15,0
2,17,1
2,19,0
2,20,0
2,21,0
2,22,1
2,23,1
2,38,1
2,52,1
2,50,0
2,51,1
2,32,1
2,7,1
2,24,0
3,4,1
3,5,0
3,48,0
3,65,0
3,91,0
3,26,0
3,71,0
3,93,0
3,30,1
3,94,0
3,95,0
3,69,1
3,55,0
4,5,0
4,6,1
4,7,1
4,8,1
4,9,1
4,10,1
4,18,1
4,12,1
4,15,0
4,17,1
4,19,1
4,20,1
4,21,1
4,22,1
4,23,0
4,24,1
4,25,1
4,26,0
4,27,1
4,63,1
4,62,1
4,60,1
4,38,1
4,59,0
4,64,1
4,65,0
4,66,0
4,67,1
4,58,1
4,71,0
4,88,0
4,49,0
4,50,1
5,6,1
5,47,0
5,12,0
5,46,0
5,45,0
5,44,0
5,48,1
5,49,1
5,56,1
5,55,1
5,54,1
5,53,1
5,50,0
5,24,1
5,38,0
5,57,1
5,58,1
5,59,0
5,60,0
5,61,1
5,40,1
5,82,0
5,67,1
5,65,1
5,84,1
5,86,0
5,71,0
5,62,0
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,0
6,13,0
6,71,0
6,50,0
6,44,1
6,62,1
6,72,0
6,73,0
6,24,1
6,67,1
7,8,1
7,9,1
7,10,1
7,11,1
7,12,0
7,13,0
7,50,1
7,52,0
7,38,1
7,51,1
7,24,0
7,60,0
7,59,0
7,62,1
7,63,1
7,64,1
7,65,0
7,66,0
7,67,1
7,58,1
8,9,1
8,10,1
8,11,1
8,12,0
8,13,0
8,40,1
8,39,1
8,38,1
8,32,1
8,24,0
8,30,1
8,37,1
8,36,1
8,41,0
8,77,0
8,74,1
8,76,0
8,75,0
8,67,0
8,71,0
8,78,1
8,50,1
8,79,1
8,80,0
8,81,0
8,82,1
8,66,0
9,10,1
9,11,1
9,12,0
9,13,1
9,16,1
9,15,1
9,17,0
9,74,0
9,67,0
9,62,0
9,44,0
9,71,0
9,75,1
9,76,1
9,77,0
10,11,1
10,12,0
10,13,0
11,12,0
11,13,0
11,14,1
12,13,0
12,14,1
12,15,1
12,16,1
12,17,0
12,18,0
12,19,1
12,20,0
12,21,1
12,24,1
12,41,0
12,39,1
12,42,0
12,32,0
12,43,1
12,44,0
12,45,1
12,46,0
12,47,0
12,48,1
12,40,0
12,82,0
12,50,0
12,80,0
12,83,0
12,78,0
12,66,0
12,67,1
12,65,1
12,84,0
12,73,0
12,59,1
12,85,1
13,14,1
13,15,0
13,16,0
13,62,1
13,50,1
13,38,1
13,24,0
13,55,0
13,71,0
13,89,1
13,30,1
14,15,0
15,16,0
15,17,1
15,18,0
15,22,1
15,20,1
15,19,1
15,21,1
15,23,1
15,24,1
15,25,1
15,26,1
16,17,0
17,18,0
18,19,0
18,20,0
18,24,1
18,39,0
18,41,0
18,42,0
18,32,1
18,50,0
18,38,0
18,51,1
18,52,0
18,94,0
18,69,0
18,30,0
18,78,0
18,96,0
18,55,1
18,95,0
18,97,1
18,40,1
19,20,0
19,21,0
19,22,1
19,23,1
19,43,1
19,41,1
19,32,1
19,44,0
19,45,1
20,21,0
20,22,1
20,23,1
20,24,1
20,25,1
21,22,1
21,23,0
22,23,1
22,24,1
22,25,1
23,24,1
23,25,1
23,26,0
23,27,1
24,25,0
24,26,0
24,27,1
24,36,0
24,38,0
24,37,1
24,35,1
24,34,1
24,32,1
24,30,1
24,39,0
24,40,0
24,41,1
24,42,0
24,50,1
24,49,1
24,48,1
24,47,1
24,52,0
24,53,1
24,54,1
24,55,1
24,56,1
24,57,0
24,58,0
24,59,0
24,60,0
24,61,1
24,44,1
24,62,0
24,71,1
24,67,0
24,88,0
24,86,1
24,89,0
24,90,0
24,91,1
24,92,1
24,93,1
24,65,1
25,26,0
25,27,1
26,27,0
26,28,1
26,29,0
26,30,1
26,31,1
26,50,0
26,89,0
26,38,0
26,71,0
26,90,0
26,91,0
26,92,1
26,93,1
26,65,1
26,48,0
26,69,0
26,94,0
26,55,0
26,78,0
27,28,1
27,29,0
27,30,1
27,31,1
28,29,0
28,30,1
28,31,1
28,32,0
29,30,1
29,31,1
29,32,0
29,33,1
29,34,1
29,35,1
29,36,1
29,37,1
30,31,1
30,32,0
30,33,1
30,34,1
30,35,1
30,36,1
30,37,1
30,38,1
30,39,1
30,40,0
30,50,1
30,89,1
30,71,1
30,55,1
30,48,0
30,65,0
30,91,0
30,93,0
30,94,0
30,95,1
30,69,0
30,78,0
30,96,1
30,97,0
30,41,0
30,98,1
31,32,0
31,33,1
31,34,1
31,35,1
31,36,1
32,33,1
32,34,1
32,35,1
32,36,1
32,37,1
32,38,0
32,40,1
32,39,1
32,42,1
32,41,1
32,43,0
32,50,0
32,49,0
32,48,0
32,47,0
32,51,1
32,52,0
33,34,1
33,35,1
33,36,1
33,37,1
33,38,1
34,35,1
34,36,1
34,37,1
34,38,1
35,36,1
35,37,1
35,38,1
36,37,1
36,38,1
36,39,1
36,40,1
36,41,1
37,38,1
37,39,1
37,40,1
38,39,1
38,40,1
38,50,0
38,49,0
38,48,0
38,52,0
38,51,1
38,56,0
38,55,1
38,54,0
38,53,0
38,57,0
38,58,1
38,59,1
38,60,1
38,61,1
38,62,1
38,63,1
38,64,1
38,65,0
38,66,0
38,67,1
38,71,1
38,89,0
38,90,0
38,91,1
38,92,1
38,93,1
38,96,0
38,94,0
39,40,1
39,41,0
40,41,0
40,44,1
40,82,1
40,50,1
40,80,1
40,83,1
40,78,1
40,66,1
40,67,0
40,65,1
40,84,0
40,73,0
40,97,1
40,94,1
40,95,1
40,55,1
40,98,1
41,42,1
41,43,0
41,97,0
41,94,0
41,95,0
41,55,1
41,98,1
42,43,0
43,44,0
43,45,1
44,45,1
44,46,0
44,47,0
44,72,1
44,73,1
44,71,1
44,66,1
44,62,1
44,50,1
44,67,0
44,74,1
44,82,1
44,80,1
44,83,1
44,78,1
45,46,0
45,47,0
46,47,0
46,48,1
47,48,1
47,49,1
47,50,0
48,49,0
48,50,0
48,65,0
48,91,0
48,71,0
48,93,0
48,94,0
48,95,0
48,69,0
48,55,0
48,78,0
49,50,0
49,71,0
49,59,0
49,85,0
49,88,1
49,67,1
50,51,1
50,52,0
50,53,1
50,54,1
50,55,1
50,56,1
50,57,0
50,58,1
50,67,0
50,71,1
50,70,0
50,69,0
50,72,0
50,66,0
50,73,0
50,62,0
50,78,0
50,74,0
50,79,1
50,80,1
50,83,1
50,82,1
50,59,1
50,85,1
50,87,1
50,86,0
50,89,1
50,90,0
50,91,1
50,92,1
51,52,0
52,53,1
52,54,1
52,55,0
52,56,1
52,60,0
52,59,0
53,54,1
53,55,1
53,56,1
53,57,0
53,58,1
54,55,1
54,56,1
54,57,0
54,58,1
55,56,1
55,57,1
55,58,1
55,59,1
55,60,1
55,61,0
55,62,0
55,71,0
55,89,1
55,94,0
55,69,0
